LCA_CASE_EMPLOYER_NAME,LCA_CASE_EMPLOYER_CITY,LCA_CASE_EMPLOYER_STATE,LCA_CASE_EMPLOYER_POSTAL_CODE,LCA_CASE_JOB_TITLE,LCA_CASE_WAGE_RATE_FROM
NOUVOU INC.,MOUNTAIN VIEW,CA,94043,PRODUCT LINE MANAGER (MARKET RESEARCH ANALYST),85000
"ACCELRYS SOFTWARE, INC.",SAN DIEGO,CA,92121,SOFTWARE INTEGRATION ENGINEER,79850.82
"RS COMPUTER ASSOCIATES, LLC",NEWARK,CA,94560,TECHNICAL SUPPORT ENGINEER,71000
HEWLETT-PACKARD COMPANY,CUPERTINO,CA,95014,ENGINEERING PROGRAM MANAGER II,98384
GOOGLE INC.,MOUNTAIN VIEW,CA,94043,SOFTWARE ENGINEER,115900
MASIMO CORPORATION,IRVINE,CA,92618,MARKETING COMMUNICATIONS SPECIALIST,47000
GOOGLE INC.,MOUNTAIN VIEW,CA,94043,SOFTWARE ENGINEER,109500
P2S ENGINEERING INC.,LONG BEACH,CA,90815-,MECHANICAL ENGINEER,69597
PATTON STATE HOSPITAL,PATTON,CA,92369,PSYCHOLOGIST (HEALTH FACILITY-CLINICAL-SAFETY),81324
MASIMO CORPORATION,IRVINE,CA,92618,ADVANCED INTERACTION DESIGNER,86000
GOOGLE INC.,MOUNTAIN VIEW,CA,94043,RESEARCH ENGINEER (SOFTWARE),124300
LIFE TECHNOLOGIES CORPORATION,CARLSBAD,CA,92008,ASSOCIATE SCIENTIST III,57000
"MAGMA DESIGN AUTOMATION, INC.",SAN JOSE,CA,95110,STAFF APPLICATIONS ENGINEER,88000
"HCL AMERICA, INC.",SUNNYVALE,CA,94085,PROGRAMMER ANALYST,46280
"MAPR TECHNOLOGIES, INC.",SAN JOSE,CA,95134,SENIOR QA ENGINEER,121000
"TREND MICRO, INC.",CUPERTINO,CA,95014,SR. SOFTWARE ENGINEER,95000
"RISK MANAGEMENT SOLUTIONS, INC.",NEWARK,CA,94560,SR. CATASTROPHE EXPOSURE MODELER,70000
"JUNIPER NETWORKS (US), INC.",SUNNYVALE,CA,94089,TECHNICAL SUPPORT ENGINEER,57866
NUOVE SALES LLC,LOS ANGELES,CA,90045,MARKET RESEARCH SPECIALIST,60000
QUALCOMM INCORPORATED,SAN DIEGO,CA,92121,SENIOR BUSINESS PROCESS ANALYST,76232
"PHILIPS MEDICAL SYSTEMS (CLEVELAND), INC.",SAN JOSE,CA,95134,RESEARCH SCIENTIST,90000
SYMANTEC CORPORATION,MOUNTAIN VIEW,CA,94043-,SR. SQA ENGINEER,94865
QUALCOMM INCORPORATED,SAN DIEGO,CA,92121,SENIOR SOFTWARE ENGINEER,78510
"FLUOR ENTERPRISES, INC.",ALISO VIEJO,CA,92698-1000,CONTRACTS ADMINISTRATORO,63702
APPLIED MICRO CIRCUITS CORPORATION,SUNNYVALE,CA,94089,ENGINEERING MANAGER II,150000
